order_item_id,order_id,item_id,quantity
OI000281,ORD000120,MI00201,3
OI000282,ORD000120,MI00199,2
OI000283,ORD000121,MI00074,1
OI000284,ORD000121,MI00076,1
OI000285,ORD000122,MI00109,1
OI000286,ORD000122,MI00111,1
OI000287,ORD000123,MI00187,1
OI000288,ORD000123,MI00187,2
OI000289,ORD000124,MI00204,1
OI000290,ORD000124,MI00203,1
OI000291,ORD000124,MI00202,1
OI000292,ORD000124,MI00201,2
OI000293,ORD000125,MI00190,1
OI000294,ORD000125,MI00194,1
OI000295,ORD000126,MI00120,3
OI000296,ORD000126,MI00120,1
OI000297,ORD000126,MI00118,2
OI000298,ORD000127,MI00068,2
OI000299,ORD000127,MI00068,1
OI000300,ORD000128,MI00119,3
OI000301,ORD000128,MI00121,2
OI000302,ORD000128,MI00120,1
OI000303,ORD000129,MI00151,2
OI000304,ORD000129,MI00153,2
OI000305,ORD000130,MI00249,2
OI000306,ORD000131,MI00159,2
OI000307,ORD000132,MI00140,1
OI000308,ORD000132,MI00141,1
OI000309,ORD000133,MI00274,1
OI000310,ORD000133,MI00280,2
OI000311,ORD000133,MI00279,2
OI000312,ORD000133,MI00278,1
OI000313,ORD000134,MI00099,1
OI000314,ORD000134,MI00097,1
OI000315,ORD000135,MI00275,1
OI000316,ORD000135,MI00280,1
OI000317,ORD000135,MI00276,2
OI000318,ORD000136,MI00152,2
OI000319,ORD000136,MI00153,1
OI000320,ORD000137,MI00086,2
OI000321,ORD000137,MI00088,1
OI000322,ORD000138,MI00215,2
OI000323,ORD000138,MI00214,1
OI000324,ORD000139,MI00183,1
OI000325,ORD000140,MI00038,1
OI000326,ORD000140,MI00037,2
OI000327,ORD000140,MI00035,2
OI000328,ORD000141,MI00041,1
OI000329,ORD000141,MI00040,2
OI000330,ORD000141,MI00039,1
OI000331,ORD000142,MI00139,2
OI000332,ORD000142,MI00136,1
OI000333,ORD000142,MI00138,2
OI000334,ORD000143,MI00244,1
OI000335,ORD000143,MI00248,1
OI000336,ORD000143,MI00246,2
OI000337,ORD000144,MI00069,2
OI000338,ORD000144,MI00070,1
OI000339,ORD000144,MI00069,1
OI000340,ORD000145,MI00070,1
OI000341,ORD000146,MI00183,3
OI000342,ORD000146,MI00178,1
OI000343,ORD000146,MI00181,1
OI000344,ORD000147,MI00253,1
OI000345,ORD000147,MI00251,1
OI000346,ORD000148,MI00122,1
OI000347,ORD000148,MI00123,1
OI000348,ORD000149,MI00095,1
OI000349,ORD000149,MI00094,1
OI000350,ORD000150,MI00028,1
OI000351,ORD000150,MI00029,1
OI000352,ORD000151,MI00259,2
OI000353,ORD000151,MI00260,3
OI000354,ORD000151,MI00259,1
OI000355,ORD000152,MI00016,1
OI000356,ORD000153,MI00196,1
OI000357,ORD000153,MI00197,1
OI000358,ORD000154,MI00060,1
OI000359,ORD000154,MI00061,2
OI000360,ORD000154,MI00064,2
OI000361,ORD000154,MI00065,1
OI000362,ORD000155,MI00079,1
OI000363,ORD000155,MI00080,3
OI000364,ORD000155,MI00082,1
OI000365,ORD000156,MI00066,1
OI000366,ORD000157,MI00034,2
OI000367,ORD000157,MI00032,1
OI000368,ORD000157,MI00033,2
OI000369,ORD000157,MI00035,1
OI000370,ORD000158,MI00272,1
OI000371,ORD000159,MI00147,2
OI000372,ORD000159,MI00146,1
OI000373,ORD000159,MI00146,3
OI000374,ORD000160,MI00198,2
OI000375,ORD000160,MI00195,1
OI000376,ORD000161,MI00188,2
OI000377,ORD000161,MI00184,2
OI000378,ORD000162,MI00061,2
OI000379,ORD000163,MI00079,1
OI000380,ORD000164,MI00219,2
OI000381,ORD000164,MI00218,1
OI000382,ORD000164,MI00217,2
OI000383,ORD000164,MI00218,1
OI000384,ORD000165,MI00005,1
OI000385,ORD000166,MI00026,1
OI000386,ORD000166,MI00021,3
OI000387,ORD000166,MI00019,2
OI000388,ORD000167,MI00004,1
OI000389,ORD000168,MI00016,2
OI000390,ORD000168,MI00015,1
OI000391,ORD000168,MI00016,2
OI000392,ORD000169,MI00062,2
OI000393,ORD000170,MI00203,1
OI000394,ORD000170,MI00202,1
OI000395,ORD000170,MI00202,1
OI000396,ORD000171,MI00135,1
OI000397,ORD000172,MI00145,2
OI000398,ORD000172,MI00142,1
OI000399,ORD000172,MI00142,1
OI000400,ORD000173,MI00015,1
OI000401,ORD000173,MI00016,1
OI000402,ORD000174,MI00177,2
OI000403,ORD000174,MI00173,2
OI000404,ORD000175,MI00165,1
OI000405,ORD000175,MI00163,1
OI000406,ORD000175,MI00164,1
OI000407,ORD000176,MI00099,2
OI000408,ORD000176,MI00096,1
OI000409,ORD000177,MI00245,1
OI000410,ORD000178,MI00042,1
OI000411,ORD000178,MI00041,1
OI000412,ORD000178,MI00039,1
OI000413,ORD000179,MI00251,1
OI000414,ORD000179,MI00253,2
OI000415,ORD000179,MI00251,1
OI000416,ORD000180,MI00205,1
OI000417,ORD000180,MI00208,3
OI000418,ORD000181,MI00159,1
OI000419,ORD000181,MI00154,2
OI000420,ORD000181,MI00158,2
OI000421,ORD000181,MI00155,1
OI000422,ORD000182,MI00053,1
OI000423,ORD000182,MI00052,1
OI000424,ORD000182,MI00050,1
OI000425,ORD000183,MI00088,1
OI000426,ORD000183,MI00088,1
OI000427,ORD000183,MI00084,1
OI000428,ORD000184,MI00266,1
OI000429,ORD000184,MI00265,1
OI000430,ORD000184,MI00265,1
OI000431,ORD000185,MI00103,1
OI000432,ORD000185,MI00103,1
OI000433,ORD000185,MI00105,1
OI000434,ORD000186,MI00168,1
OI000435,ORD000186,MI00169,1
OI000436,ORD000186,MI00169,1
OI000437,ORD000187,MI00251,2
OI000438,ORD000187,MI00252,1
OI000439,ORD000188,MI00207,1
OI000440,ORD000188,MI00206,2
OI000441,ORD000188,MI00205,1
OI000442,ORD000189,MI00141,1
OI000443,ORD000189,MI00142,1
OI000444,ORD000189,MI00144,1
OI000445,ORD000190,MI00120,1
OI000446,ORD000190,MI00118,1
OI000447,ORD000191,MI00199,2
OI000448,ORD000192,MI00094,1
OI000449,ORD000192,MI00090,1
OI000450,ORD000192,MI00093,1
OI000451,ORD000193,MI00140,1
OI000452,ORD000193,MI00144,1
OI000453,ORD000194,MI00046,1
OI000454,ORD000194,MI00043,1
OI000455,ORD000194,MI00047,1
OI000456,ORD000194,MI00047,1
OI000457,ORD000195,MI00066,1
OI000458,ORD000196,MI00070,2
OI000459,ORD000196,MI00071,1
OI000460,ORD000196,MI00067,1
OI000461,ORD000196,MI00070,1
OI000462,ORD000197,MI00260,2
OI000463,ORD000198,MI00057,1
OI000464,ORD000198,MI00056,1
OI000465,ORD000198,MI00059,1
OI000466,ORD000199,MI00175,1
OI000467,ORD000199,MI00174,2
OI000468,ORD000199,MI00172,1
OI000469,ORD000200,MI00071,1
OI000470,ORD000200,MI00071,2
OI000471,ORD000201,MI00062,1
OI000472,ORD000201,MI00064,1
OI000473,ORD000201,MI00061,2
OI000474,ORD000202,MI00069,1
OI000475,ORD000202,MI00067,1
OI000476,ORD000203,MI00067,1
OI000477,ORD000203,MI00066,1
OI000478,ORD000204,MI00181,2
OI000479,ORD000204,MI00180,2
OI000480,ORD000205,MI00168,1
OI000481,ORD000205,MI00171,1
OI000482,ORD000206,MI00102,1
OI000483,ORD000206,MI00101,1
OI000484,ORD000207,MI00201,1
OI000485,ORD000207,MI00202,2
OI000486,ORD000208,MI00055,2
OI000487,ORD000208,MI00054,2
OI000488,ORD000208,MI00052,1
OI000489,ORD000209,MI00250,1
OI000490,ORD000209,MI00246,2
OI000491,ORD000209,MI00246,2
OI000492,ORD000210,MI00102,2
OI000493,ORD000210,MI00100,2
OI000494,ORD000210,MI00103,1
OI000495,ORD000211,MI00140,1
OI000496,ORD000212,MI00040,1
OI000497,ORD000213,MI00257,2
OI000498,ORD000213,MI00254,1
OI000499,ORD000214,MI00033,1
OI000500,ORD000214,MI00032,1
OI000501,ORD000214,MI00032,2
OI000502,ORD000214,MI00033,3
OI000503,ORD000215,MI00036,1
OI000504,ORD000215,MI00037,2
OI000505,ORD000215,MI00037,1
OI000506,ORD000216,MI00061,1
OI000507,ORD000216,MI00062,1
OI000508,ORD000216,MI00064,1
OI000509,ORD000217,MI00232,2
OI000510,ORD000217,MI00231,1
OI000511,ORD000217,MI00230,1
OI000512,ORD000218,MI00057,2
OI000513,ORD000218,MI00057,2
OI000514,ORD000219,MI00229,1
OI000515,ORD000219,MI00231,1
OI000516,ORD000220,MI00028,2
OI000517,ORD000220,MI00030,2
OI000518,ORD000221,MI00083,1
OI000519,ORD000222,MI00214,2
OI000520,ORD000222,MI00216,2
OI000521,ORD000222,MI00214,2
OI000522,ORD000223,MI00219,1
OI000523,ORD000223,MI00220,1
OI000524,ORD000224,MI00251,1
OI000525,ORD000224,MI00255,2
OI000526,ORD000225,MI00206,1
OI000527,ORD000225,MI00210,2
OI000528,ORD000225,MI00207,2
OI000529,ORD000226,MI00158,2
OI000530,ORD000226,MI00154,2
OI000531,ORD000226,MI00157,1
OI000532,ORD000227,MI00101,1
OI000533,ORD000227,MI00104,1
OI000534,ORD000228,MI00208,2
OI000535,ORD000228,MI00205,1
OI000536,ORD000229,MI00193,2
OI000537,ORD000230,MI00226,1
OI000538,ORD000231,MI00118,1
OI000539,ORD000231,MI00121,1
OI000540,ORD000231,MI00118,1
OI000541,ORD000232,MI00064,1
OI000542,ORD000233,MI00054,2
OI000543,ORD000234,MI00232,1
OI000544,ORD000234,MI00230,1
OI000545,ORD000235,MI00175,2
OI000546,ORD000236,MI00150,1
OI000547,ORD000236,MI00150,2
OI000548,ORD000237,MI00098,1
OI000549,ORD000238,MI00028,2
OI000550,ORD000238,MI00031,2
OI000551,ORD000238,MI00029,1
OI000552,ORD000238,MI00030,2
OI000553,ORD000239,MI00167,2
OI000554,ORD000239,MI00166,1
OI000555,ORD000240,MI00064,1
OI000556,ORD000240,MI00064,1
OI000557,ORD000240,MI00060,1
OI000558,ORD000241,MI00206,1
OI000559,ORD000241,MI00206,2
OI000560,ORD000242,MI00179,1
OI000561,ORD000242,MI00182,2
OI000562,ORD000242,MI00183,1
OI000563,ORD000243,MI00085,1
OI000564,ORD000243,MI00084,1
OI000565,ORD000244,MI00038,2
OI000566,ORD000244,MI00034,1
OI000567,ORD000244,MI00035,2
OI000568,ORD000245,MI00172,1
OI000569,ORD000245,MI00175,1
OI000570,ORD000246,MI00248,2
OI000571,ORD000246,MI00249,1
OI000572,ORD000247,MI00151,1
OI000573,ORD000247,MI00152,1
OI000574,ORD000248,MI00132,1
OI000575,ORD000248,MI00130,1
OI000576,ORD000248,MI00128,1
OI000577,ORD000249,MI00189,2
OI000578,ORD000249,MI00194,1
OI000579,ORD000250,MI00127,1
OI000580,ORD000250,MI00131,2
OI000581,ORD000251,MI00040,1
OI000582,ORD000251,MI00039,1
OI000583,ORD000251,MI00040,3
OI000584,ORD000252,MI00090,1
OI000585,ORD000252,MI00095,1
OI000586,ORD000253,MI00107,1
OI000587,ORD000253,MI00111,2
OI000588,ORD000254,MI00020,2
OI000589,ORD000254,MI00022,1
OI000590,ORD000254,MI00021,1
OI000591,ORD000255,MI00199,1
OI000592,ORD000255,MI00202,1
OI000593,ORD000255,MI00202,2
OI000594,ORD000256,MI00183,1
OI000595,ORD000256,MI00182,2
OI000596,ORD000257,MI00151,2
OI000597,ORD000257,MI00153,1
OI000598,ORD000257,MI00150,1
OI000599,ORD000257,MI00150,2
OI000600,ORD000258,MI00080,2
OI000601,ORD000258,MI00082,1
OI000602,ORD000259,MI00074,2
OI000603,ORD000259,MI00074,1
OI000604,ORD000259,MI00078,3
OI000605,ORD000260,MI00210,1
OI000606,ORD000261,MI00072,1
OI000607,ORD000261,MI00073,1
OI000608,ORD000261,MI00073,2
OI000609,ORD000262,MI00114,1
OI000610,ORD000262,MI00114,1
OI000611,ORD000263,MI00144,1
OI000612,ORD000263,MI00141,1
OI000613,ORD000264,MI00260,1
OI000614,ORD000264,MI00259,2
OI000615,ORD000265,MI00175,2
OI000616,ORD000266,MI00269,1
OI000617,ORD000266,MI00272,1
OI000618,ORD000266,MI00269,2
OI000619,ORD000267,MI00095,2
OI000620,ORD000267,MI00091,1
OI000621,ORD000267,MI00092,1
OI000622,ORD000267,MI00095,1
OI000623,ORD000268,MI00063,2
OI000624,ORD000268,MI00064,1
OI000625,ORD000268,MI00065,3
OI000626,ORD000269,MI00187,1
OI000627,ORD000269,MI00184,1
OI000628,ORD000270,MI00097,1
OI000629,ORD000270,MI00097,3
OI000630,ORD000270,MI00096,1
OI000631,ORD000270,MI00096,1
OI000632,ORD000271,MI00259,1
OI000633,ORD000272,MI00228,1
OI000634,ORD000272,MI00227,2
OI000635,ORD000273,MI00238,2
OI000636,ORD000273,MI00242,1
OI000637,ORD000274,MI00013,1
OI000638,ORD000274,MI00011,2
OI000639,ORD000275,MI00271,1
OI000640,ORD000276,MI00031,1
OI000641,ORD000277,MI00249,1
OI000642,ORD000277,MI00246,3
OI000643,ORD000278,MI00157,1
OI000644,ORD000279,MI00256,1
OI000645,ORD000279,MI00256,1
OI000646,ORD000279,MI00255,1
OI000647,ORD000280,MI00018,1
OI000648,ORD000281,MI00039,1
OI000649,ORD000281,MI00039,1
OI000650,ORD000281,MI00042,1
OI000651,ORD000282,MI00246,2
OI000652,ORD000282,MI00249,1
OI000653,ORD000282,MI00249,2
OI000654,ORD000282,MI00247,1
OI000655,ORD000283,MI00127,1
OI000656,ORD000283,MI00127,1
OI000657,ORD000283,MI00126,1
OI000658,ORD000284,MI00050,1
OI000659,ORD000284,MI00052,1
OI000660,ORD000285,MI00131,1
OI000661,ORD000285,MI00129,1
OI000662,ORD000286,MI00129,2
OI000663,ORD000287,MI00151,3
OI000664,ORD000288,MI00141,3
OI000665,ORD000289,MI00043,2
OI000666,ORD000290,MI00052,3
OI000667,ORD000290,MI00051,1
OI000668,ORD000291,MI00031,1
OI000669,ORD000291,MI00031,2
OI000670,ORD000291,MI00027,1
OI000671,ORD000292,MI00272,1
OI000672,ORD000292,MI00270,1
OI000673,ORD000292,MI00273,1
OI000674,ORD000292,MI00269,2
OI000675,ORD000293,MI00112,2
OI000676,ORD000293,MI00115,1
OI000677,ORD000294,MI00072,1
OI000678,ORD000294,MI00077,2
OI000679,ORD000294,MI00078,1
OI000680,ORD000294,MI00072,1
OI000681,ORD000295,MI00097,2
OI000682,ORD000296,MI00205,1
OI000683,ORD000296,MI00209,1
OI000684,ORD000297,MI00148,1
OI000685,ORD000298,MI00276,1
OI000686,ORD000298,MI00277,1
OI000687,ORD000299,MI00234,2
OI000688,ORD000299,MI00234,1
OI000689,ORD000299,MI00235,2
OI000690,ORD000300,MI00059,1
OI000691,ORD000300,MI00058,1
OI000692,ORD000300,MI00056,1
OI000693,ORD000301,MI00180,2
OI000694,ORD000302,MI00030,2
OI000695,ORD000302,MI00029,1
OI000696,ORD000302,MI00028,2
OI000697,ORD000303,MI00177,2
OI000698,ORD000303,MI00174,2
OI000699,ORD000303,MI00173,2
OI000700,ORD000304,MI00115,2
OI000701,ORD000304,MI00116,1
OI000702,ORD000305,MI00124,2
OI000703,ORD000305,MI00124,2
OI000704,ORD000305,MI00125,1
OI000705,ORD000306,MI00196,2
OI000706,ORD000306,MI00195,2
OI000707,ORD000307,MI00184,1
OI000708,ORD000307,MI00187,1
OI000709,ORD000307,MI00185,1
OI000710,ORD000308,MI00261,2
OI000711,ORD000308,MI00260,1
OI000712,ORD000309,MI00221,1
OI000713,ORD000309,MI00222,1
OI000714,ORD000310,MI00234,1
OI000715,ORD000311,MI00213,2
OI000716,ORD000311,MI00215,1
OI000717,ORD000311,MI00215,1
OI000718,ORD000312,MI00066,1
OI000719,ORD000312,MI00069,1
OI000720,ORD000312,MI00068,1
OI000721,ORD000313,MI00081,1
OI000722,ORD000313,MI00079,1
OI000723,ORD000314,MI00273,2
OI000724,ORD000314,MI00269,1
OI000725,ORD000315,MI00214,1
OI000726,ORD000315,MI00211,1
OI000727,ORD000316,MI00147,2
OI000728,ORD000316,MI00148,2
OI000729,ORD000316,MI00148,1
OI000730,ORD000317,MI00148,1
OI000731,ORD000317,MI00148,1
OI000732,ORD000317,MI00149,1
OI000733,ORD000318,MI00188,1
OI000734,ORD000318,MI00184,1
OI000735,ORD000318,MI00186,1
OI000736,ORD000319,MI00005,1
OI000737,ORD000320,MI00104,3
OI000738,ORD000320,MI00101,1
OI000739,ORD000320,MI00101,1
OI000740,ORD000320,MI00102,3
OI000741,ORD000321,MI00129,2
OI000742,ORD000321,MI00132,1
OI000743,ORD000321,MI00129,1
OI000744,ORD000322,MI00141,1
OI000745,ORD000322,MI00142,1
OI000746,ORD000322,MI00145,1
OI000747,ORD000322,MI00142,1
OI000748,ORD000323,MI00008,2
OI000749,ORD000323,MI00014,1
OI000750,ORD000323,MI00009,1
OI000751,ORD000324,MI00073,1
OI000752,ORD000324,MI00074,1
OI000753,ORD000324,MI00076,1
OI000754,ORD000325,MI00152,1
OI000755,ORD000325,MI00153,2
OI000756,ORD000326,MI00124,1
OI000757,ORD000327,MI00251,3
OI000758,ORD000327,MI00254,1
OI000759,ORD000327,MI00253,1
OI000760,ORD000327,MI00254,1
OI000761,ORD000328,MI00207,2
OI000762,ORD000329,MI00077,1
OI000763,ORD000329,MI00078,1
OI000764,ORD000329,MI00075,1
OI000765,ORD000329,MI00073,2
OI000766,ORD000330,MI00008,1
OI000767,ORD000330,MI00010,1
OI000768,ORD000330,MI00012,1
OI000769,ORD000331,MI00182,3
OI000770,ORD000331,MI00183,1
OI000771,ORD000331,MI00183,1
OI000772,ORD000331,MI00182,2
OI000773,ORD000332,MI00232,1
OI000774,ORD000333,MI00146,1
OI000775,ORD000333,MI00148,2
